Host Name;DNS name 1;DNS name 2;State;Responsable;Critical;Priority;Type;Virt. Plataform;Fail Over Cluster or VMwware Datacenter;Business Function;Application name;Environment;Contact Team;Data center;Domain;Operating System;Time Zone;Network Adapter;MAC Address;IP Address Adapter 1;IP Address Adapter 2;IP Address Adapter 3;IP Address Adapter 4;Default Gateway;DNS Primary;DNS Secondary;SERVER MAKE;SERVER MODEL;SERVER TYPE;Console Remote Access;Service Tag (serial);Warranty end
CANSAPP173PY;CANSAPP173PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Wavelink;PY;Rodrigo Aniceto;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.167/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP174;CANSAPP174.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;TV 360;PD;Mouronte Martin ;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.21.43/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP175PY;CANSAPP175PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;;;;;;;;;;;;;10.30.23.55/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;;;
CANSAPP176;CANSAPP176.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Sophie ;PD;Eugenio Sobrinho;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.21.48/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP176PY;CANSAPP176PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Sophie ;PY;Eugenio Sobrinho;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 Standard (64-bit);(GMT-03:00) Brasilia;;;10.30.21.40/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP177;CANSAPP177.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;AGVs -;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows 7 Enterprise (64-bit);(UTC-03:00) Brasilia;;;10.30.23.90/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP17PY;None;;DECOMMISSIONED;INTEROP;NO;P5;Virtual;N/A;N/A;N/A;N/A;PY;Cristiano / Carlos;AGCO AR - General Rodriguez;None;N/A;(UTC-03:00) Brasilia;;;10.30.20.43.old;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP18;cansapp18.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;GFAlliance, InterJDE, interface (JDE, GFAlliance);PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2E:40;10.30.20.98/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP180;CANSAPP180.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Projeto SNC;;;;;Ubuntu 16 Linux (64-bit);;;;10.30.23.84/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP180DV;CANSAPP180DV.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Projeto SNC;;;;;Ubuntu 16 Linux (64-bit);;;;10.30.23.140/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
